"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.0040676169149621,0.358155334203446,0.695,0.594,1,"4","Pin1"
0.00406860081623817,0.27979373391409,0.407,0.307,1,"4","6530401N04Rik"
0.00407675078045362,0.294582843097534,0.743,0.61,1,"4","Ube4b"
0.00410097629162005,0.317749098165539,0.617,0.487,1,"4","Pla2g16"
0.00413478307717821,0.483871576410587,0.479,0.357,1,"4","Ept1"
0.00415153239475874,0.523997153735597,0.341,0.236,1,"4","Pias3"
0.00416312327246689,0.579216255869136,0.395,0.292,1,"4","Ints9"
0.00418325435670859,0.325814049833149,0.754,0.623,1,"4","Arid4b"
0.00421034011994555,0.340030932111702,0.527,0.406,1,"4","Mrpl11"
0.00421914032772212,0.67716104930985,0.479,0.391,1,"4","Nkiras1"
0.00423845587675862,0.845931406461843,0.395,0.313,1,"4","Ankmy2"
0.00425648947971929,0.261663850039578,0.647,0.525,1,"4","Dda1"
0.00425794179223112,0.699458257388401,0.251,0.165,1,"4","Ptpdc1"
0.00427012658673299,0.253985354161098,0.778,0.654,1,"4","Timm8b"
0.00430313750793111,0.810413844013627,0.395,0.305,1,"4","Lhfpl4"
0.00430668757026212,0.546853420615765,0.371,0.266,1,"4","Ccdc28b"
0.00431253518453154,0.811600989103604,0.341,0.243,1,"4","Aptx"
0.00434217086701358,0.869302517396915,0.317,0.223,1,"4","Dtx3l"
0.00435256066053332,0.252257716531548,0.719,0.622,1,"4","Gps1"
0.00436237004235737,0.747294365230516,0.377,0.288,1,"4","Samd10"
0.00437424035791771,0.686507617141663,0.431,0.32,1,"4","Usp45"
0.0043867951301046,0.418940153509784,0.359,0.259,1,"4","Terf1"
0.00440618674258434,0.326884021149735,0.79,0.665,1,"4","Mapk1"
0.00441013197908703,0.698146628791157,0.461,0.367,1,"4","Slc39a13"
0.00446893699766009,0.257940044356681,0.653,0.578,1,"4","Ppt1"
0.0044807324531607,0.723555873933748,0.437,0.343,1,"4","Pigu"
0.00448982723988208,0.25756342095953,0.545,0.424,1,"4","Prkag1"
